1400 2.94522254e-03 1.92277943e-03
3.89423118e-03 3.63116210e+01 2.78176155e-05 7.35644580e+01
3.93935667e-03 3.63116140e+01 2.84063613e-05 7.33567196e+01
3.98500507e-03 3.63116250e+01 2.89919395e-05 7.31478678e+01
4.03118242e-03 3.63116068e+01 2.96069585e-05 7.29374110e+01
4.07789487e-03 3.63116071e+01 3.02344246e-05 7.27251065e+01
4.12514862e-03 3.63116050e+01 3.08571500e-05 7.25110227e+01
4.17294993e-03 3.63115980e+01 3.15007526e-05 7.22955345e+01
4.22130515e-03 3.63115897e+01 3.21485777e-05 7.20792505e+01
4.27022070e-03 3.63113585e+01 3.28383511e-05 7.18628806e+01
4.31970308e-03 3.63115993e+01 3.35221136e-05 7.16470718e+01
4.36975884e-03 3.63103792e+01 3.42260590e-05 7.14321634e+01
4.42039464e-03 3.63115986e+01 3.49245967e-05 7.12184269e+01
4.47161720e-03 3.63116012e+01 3.56556562e-05 7.10055041e+01
4.52343331e-03 3.63115941e+01 3.64062740e-05 7.07928195e+01
4.57584985e-03 3.63115910e+01 3.71594280e-05 7.05796364e+01
4.62887379e-03 3.63115880e+01 3.79283415e-05 7.03652535e+01
4.68251216e-03 3.63115793e+01 3.87150809e-05 7.01492898e+01
4.73677207e-03 3.63115739e+01 3.95269622e-05 6.99313900e+01
4.79166074e-03 3.63115744e+01 4.03377825e-05 6.97121398e+01
4.84718545e-03 3.63115832e+01 4.11788102e-05 6.94921113e+01
4.90335356e-03 3.63115798e+01 4.20433375e-05 6.92721121e+01
4.96017254e-03 3.63115726e+01 4.29050424e-05 6.90528549e+01
5.01764992e-03 3.63115942e+01 4.37872283e-05 6.88347299e+01
5.07579334e-03 3.63115497e+01 4.47024578e-05 6.86176702e+01
5.13461051e-03 3.63117388e+01 4.56282071e-05 6.84011625e+01
5.19410924e-03 3.63115766e+01 4.65829266e-05 6.81844092e+01
5.25429743e-03 3.63115746e+01 4.75348871e-05 6.79665994e+01
5.31518307e-03 3.63115735e+01 4.85028705e-05 6.77471996e+01
5.37677423e-03 3.63115714e+01 4.95246879e-05 6.75261586e+01
5.43907911e-03 3.63115697e+01 5.05448131e-05 6.73039449e+01
